

商品名称 ：铜                  2020-03-13,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,569826,88798,期货公司  ,400920,-5316,期货公司  ,399175,-5188,
非期货公司,1452,512,非期货公司,3929,-74,非期货公司,5674,-202,
合约代码 ：cu2003                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
13,南华期货  ,675,143,13,兴业期货  ,939,0,13,华泰期货  ,1315,-65,
14,一德期货  ,628,238,14,光大期货  ,921,8,14,方正中期  ,671,1,
15,华闻期货  ,619,223,15,中信建投  ,775,-10,15,广发期货  ,513,204,
16,东亚期货  ,593,-3,16,中钢期货  ,741,0,16,东亚期货  ,475,-289,
17,国贸期货  ,549,-519,17,云晨期货  ,712,-1,17,先融期货  ,475,-2,
18,倍特期货  ,479,236,18,长江期货  ,682,0,18,国金期货  ,357,86,
19,国投安信  ,452,-662,19,申万期货  ,657,218,19,鲁证期货  ,356,0,
20,广发期货  ,398,61,20,瑞达期货  ,641,0,20,海通期货  ,280,-5,
合计,,29399,19,合计,,31725,2118,合计,,44650,4833,
合约代码 ：al2008                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,申万期货  ,809,89,1,中粮期货  ,2012,0,1,中信期货  ,3851,10,
2,国富期货  ,561,75,2,上海中期  ,1438,0,2,南华期货  ,1748,3,
3,中信期货  ,357,295,3,广发期货  ,1399,13,3,一德期货  ,1200,0,
4,海通期货  ,328,237,4,中信期货  ,904,77,4,中粮期货  ,1194,0,
5,东亚期货  ,277,277,5,南华期货  ,627,0,5,永安期货  ,1052,5,
6,瑞达期货  ,146,81,6,永安期货  ,606,-64,6,建信期货  ,1000,0,
7,新晟期货  ,136,50,7,中信建投  ,554,-2,7,瑞达期货  ,954,0,
8,国贸期货  ,130,130,8,海通期货  ,523,2,8,方正中期  ,717,0,
9,格林大华  ,122,73,9,长江期货  ,467,0,9,银河期货  ,621,5,
10,华泰期货  ,98,93,10,五矿经易  ,458,0,10,首创期货  ,485,-23,
11,银河期货  ,92,61,11,华泰期货  ,446,0,11,华泰期货  ,397,16,
12,上海中期  ,74,44,12,申万期货  ,364,-178,12,鲁证期货  ,370,0,
13,永安期货  ,73,72,13,国投安信  ,362,0,13,国金期货  ,358,0,
14,弘业期货  ,70,70,14,先锋期货  ,350,0,14,东亚期货  ,277,277,
15,宏源期货  ,62,-106,15,弘业期货  ,334,70,15,国富期货  ,251,-13,
16,中辉期货  ,56,-40,16,光大期货  ,307,3,16,国投安信  ,227,0,
17,倍特期货  ,45,2,17,招商期货  ,297,0,17,冠通期货  ,150,0,
18,国泰君安  ,41,-12,18,先融期货  ,295,0,18,摩根大通  ,118,0,
19,道通期货  ,40,40,19,国贸期货  ,240,130,19,东证期货  ,100,-4,
20,中国国际  ,40,39,20,建信期货  ,230,0,20,兴证期货  ,99,1,
合计,,3557,1570,合计,,12213,51,合计,,15169,277,
商品名称 ：锌                  2020-03-13,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,534907,125535,期货公司  ,233093,-4504,期货公司  ,233838,-5429,
